,job_title,company_name,area,city,country,job_type,job_state,exp_level,exp_years,job_category,skills,posted
0,AI Data Science and Machine Learning Instructor,CLS Learning Solutions,Dokki,Giza,Egypt ,Part Time,On-site,Experienced,3 - 15 Yrs of Exp,Training/Instructor,Deep Learning Data Science Python Natural Language Processing Neural Networks Training Teaching,10 days ago
1,Machine Learning Engineer,StreetScan,New Cairo,Cairo,Egypt ,Part Time,On-site,Experienced,7 - 11 Yrs of Exp,IT/Software Development,Computer Science Programming Python TensorFlow PyTorch Data visualization,16 days ago
2,Machine Learning Engineer,WUZZUF,Maadi,Cairo,Egypt ,Part Time,On-site,Experienced,2 - 4 Yrs of Exp,IT/Software Development,Python ElasticSearch Machine Learning Web Development Pandas Information Retrieval Recommender Systems,1 month ago
3,Machine Learning Engineer,Softec Technologies,Not mentioned,Cairo,Egypt ,Part Time,On-site,Experienced,4 - 8 Yrs of Exp,R&D/Science,Computer Science Computer Vision Deep Learning Engineering Information Technology (IT) Java Machine Learning,2 months ago
4,Senior AI Engineer,Lumin,Sheikh Zayed,Giza,Egypt ,Part Time,On-site,Experienced,3 - 5 Yrs of Exp,IT/Software Development,Computer Vision Machine Learning TensorFlow Python Computer Science Programming PyTorch,1 hour ago
5,AI Engineer,Paxerahealth Corp,Not mentioned,Cairo,Egypt ,Part Time,On-site,Experienced,3 - 5 Yrs of Exp,IT/Software Development,AI Computer Science Information Technology (IT) Machine Learning Programming Frameworks Artificial Intelligence,23 days ago
6,Senior Developer - Enterprise Software,eT3,New Cairo,Cairo,Egypt ,Part Time,On-site,Experienced,,IT/Software Development,Computer Science Fullstack Frontend Development HTML CSS javaScript Backend Development,24 days ago
7,Second Level Technical Support Engineer,3D Diagnostix,Maadi,Cairo,Egypt ,Part Time,On-site,Entry Level,0 - 5 Yrs of Exp,Installation/Maintenance/Repair,HTML PHP javaScript Information Technology (IT) Computer Science Engineering Troubleshooting,1 month ago
8,AI and Robotics Instructor,MICA,Haram,Giza,Egypt ,Part Time,On-site,Entry Level,,Training/Instructor,Engineering Python Robotics Instructor Education Teaching,1 month ago
9,DevOps Engineer,34ML,Heliopolis,Cairo,Egypt ,Part Time,On-site,Entry Level,0 - 3 Yrs of Exp,IT/Software Development,Information Technology (IT) MEAN Stack Mobile Development Objective-C Software Design Web Development Web Design,1 month ago
10,Graduate Internship: Enterprise Software Engineering,eT3,New Cairo,Cairo,Egypt ,Part Time,On-site,Entry Level,0 - 1 Yrs of Exp,IT/Software Development,Software Development Software Engineering Computer Engineering Backend Development Frontend Development 	Software Testing Data Engineering,1 month ago
11,AI Intern,Barkotel,Sheraton,Cairo,Egypt ,Part Time,On-site,Entry Level,0 - 1 Yrs of Exp,IT/Software Development,Artificial Intelligence Computer Science Software Engineering Machine Learning Computer Vision Programming,1 month ago
12,Learning & Development Management Supervisor,"Zakat, Tax and Customs Authority",Not mentioned,Riyadh,Saudi Arabia ,Part Time,On-site,Experienced,,Engineering - Telecom/Technology,Learning Training Information Technology (IT) Computer Science Teaching E-Learning,18 days ago
13,AI Engineer - Saudi Arabia,Yeah! Global,Not mentioned,Riyadh,Saudi Arabia ,Part Time,On-site,Entry Level,,Analyst/Research,Information Technology (IT) Computer Science Engineering Python Software Engineering NLP,4 days ago
14,AI Engineer - UAE,Yeah! Global,Not mentioned,Dubai,United Arab Emirates ,Part Time,On-site,Entry Level,,Analyst/Research,Information Technology (IT) Computer Science Engineering Python Software Engineering NLP,4 days ago
15,Senior Data Scientist - 1 year FTC - Saudi Arabia relocation,Fathom.io,Not mentioned,Riyadh,Saudi Arabia ,Full Time,Not Mentioned,Experienced,,Analyst/Research,Information Technology (IT) SQL Python Engineering Data Analysis Software Development,6 days ago
16,Data Scientist,Presight,Not mentioned,Dubai,United Arab Emirates ,Full Time,Not Mentioned,Entry Level,,Analyst/Research,Computer Science Information Technology (IT) SQL Data Science Data Scientist Machine Learning,8 days ago
17,Junior Data Scientist (Remote),Kreativstorm,Not mentioned,Riyadh,Saudi Arabia ,Full Time,Not Mentioned,Entry Level,,Analyst/Research,Python Information Technology (IT) SQL Data Science Data Analysis Java,13 days ago
18,Python Data Scientist (Quantitative Finance),Jobs via eFinancialCareers,Not mentioned,Dubai,United Arab Emirates ,Full Time,Not Mentioned,Entry Level,,Analyst/Research,Computer Science Information Technology (IT) SQL Data Science Machine Learning Data Scientist,15 days ago
19,Jr. Data Scientist,DXC Technology,Not mentioned,Dubai,United Arab Emirates ,Full Time,Not Mentioned,Entry Level,,Analyst/Research,Computer Science Information Technology (IT) SQL Data Science Machine Learning Data Scientist,29 days ago
