company_name,area,city,country,job_type,job_state,exp_level,job_category,programming_languages,frameworks,Number of Experience Year,posting_date
CLS Learning Solutions,Dokki,Giza,Egypt,Part Time,On-site,Experienced,AI and Machine Learning,"['python', 'r']",not found,9.0,2024-07-23
StreetScan,New Cairo,Cairo,Egypt,Part Time,On-site,Experienced,AI and Machine Learning,"['python', 'r']","['pytorch', 'tensorflow']",9.0,2024-07-17
WUZZUF,Maadi,Cairo,Egypt,Part Time,On-site,Experienced,AI and Machine Learning,"['python', 'r']",not found,3.0,2024-07-03
Softec Technologies,Not mentioned,Cairo,Egypt,Part Time,On-site,Experienced,AI and Machine Learning,"['java', 'r', 'java']",not found,6.0,2024-06-03
Lumin,Sheikh Zayed,Giza,Egypt,Part Time,On-site,Experienced,AI and Machine Learning,"['python', 'r']","['pytorch', 'tensorflow']",4.0,2024-08-02
Paxerahealth Corp,Not mentioned,Cairo,Egypt,Part Time,On-site,Experienced,AI and Machine Learning,['r'],not found,4.0,2024-07-10
eT3,New Cairo,Cairo,Egypt,Part Time,On-site,Experienced,Senior Software Engineering,"['java', 'javascript', 'r', 'html', 'css', 'java']",not found,4.443075898801598,2024-07-09
3D Diagnostix,Maadi,Cairo,Egypt,Part Time,On-site,Entry Level,Customer Service,"['java', 'javascript', 'r', 'php', 'html', 'java']",not found,2.0,2024-07-03
MICA,Haram,Giza,Egypt,Part Time,On-site,Entry Level,AI and Machine Learning,"['python', 'r']",not found,4.443075898801598,2024-07-03
34ML,Heliopolis,Cairo,Egypt,Part Time,On-site,Entry Level,DevOps and System Administration,['r'],not found,1.0,2024-07-03
eT3,New Cairo,Cairo,Egypt,Part Time,On-site,Entry Level,Software Engineering,['r'],not found,0.0,2024-07-03
Barkotel,Sheraton,Cairo,Egypt,Part Time,On-site,Entry Level,AI and Machine Learning,['r'],not found,0.0,2024-07-03
"Zakat, Tax and Customs Authority",Not mentioned,Riyadh,Saudi Arabia,Part Time,On-site,Experienced,Management and Leadership,['r'],not found,4.443075898801598,2024-07-15
Yeah! Global,Not mentioned,Riyadh,Saudi Arabia,Part Time,On-site,Entry Level,AI and Machine Learning,"['python', 'r']",not found,4.443075898801598,2024-07-29
Yeah! Global,Not mentioned,Dubai,United Arab Emirates,Part Time,On-site,Entry Level,AI and Machine Learning,"['python', 'r']",not found,4.443075898801598,2024-07-29
Fathom.io,Not mentioned,Riyadh,Saudi Arabia,Full Time,Not Mentioned,Experienced,Data Science and Analytics,"['python', 'sql', 'r']",not found,4.443075898801598,2024-07-27
Presight,Not mentioned,Dubai,United Arab Emirates,Full Time,Not Mentioned,Entry Level,Data Science and Analytics,"['sql', 'r']",not found,4.443075898801598,2024-07-25
Kreativstorm,Not mentioned,Riyadh,Saudi Arabia,Full Time,Not Mentioned,Entry Level,Data Science and Analytics,"['python', 'java', 'sql', 'r', 'java']",not found,4.443075898801598,2024-07-20
Jobs via eFinancialCareers,Not mentioned,Dubai,United Arab Emirates,Full Time,Not Mentioned,Entry Level,Data Science and Analytics,"['sql', 'r']",not found,4.443075898801598,2024-07-18
DXC Technology,Not mentioned,Dubai,United Arab Emirates,Full Time,Not Mentioned,Entry Level,Data Science and Analytics,"['sql', 'r']",not found,4.443075898801598,2024-07-04
Wakeb Data,Mohandessin,Giza,Egypt,Full Time,Not Mentioned,Experienced,Data Science and Analytics,['python'],not found,4.0,2024-07-16
LINK Development,Not mentioned,Cairo,Egypt,Full Time,Not Mentioned,Entry Level,AI and Machine Learning,"['sql', 'r']",not found,3.0,2024-07-03
BBI-Consultancy,Nasr City,Cairo,Egypt,Full Time,Not Mentioned,Experienced,Data Science and Analytics,"['python', 'r']",not found,4.443075898801598,2024-07-16
Selah ElTelmeez For Publishing & printing,Obour City,Cairo,Egypt,Full Time,Not Mentioned,Experienced,Finance and Accounting,['r'],not found,5.0,2024-07-30
El Teriak Industrial Group,Not mentioned,Giza,Egypt,Full Time,Not Mentioned,Entry Level,Production and Manufacturing,['r'],not found,4.443075898801598,2024-07-18
El Teriak Industrial Group,Not mentioned,Giza,Egypt,Full Time,Not Mentioned,Entry Level,Internship,others,not found,4.443075898801598,2024-07-18
ysolution,Not mentioned,Damietta,Egypt,Full Time,Not Mentioned,Entry Level,AI and Machine Learning,others,not found,1.0,2024-06-03
RDI,Dokki,Giza,Egypt,Full Time,Not Mentioned,Experienced,Senior Software Engineering,['r'],['django'],6.0,2024-07-16
RDI,Dokki,Giza,Egypt,Full Time,Not Mentioned,Experienced,Senior Software Engineering,['r'],['django'],6.0,2024-07-16
Pioneers Now,Nasr City,Cairo,Egypt,Full Time,Not Mentioned,Experienced,Senior Software Engineering,"['python', 'r']",not found,4.443075898801598,2024-07-03
Promech Engineering,Maadi,Cairo,Egypt,Full Time,Hybrid,Experienced,AI and Machine Learning,['r'],not found,4.0,2024-07-30
Pioneers Now,Nasr City,Cairo,Egypt,Full Time,Hybrid,Experienced,Senior Software Engineering,['r'],not found,6.0,2024-07-03
Confidential,Darrasa,Cairo,Egypt,Full Time,Hybrid,Manager,Management and Leadership,['r'],not found,2.0,2024-07-29
Exco Egypt,Nasr City,Cairo,Egypt,Full Time,Hybrid,Manager,AI and Machine Learning,['r'],not found,13.0,2024-06-03
RDI,Dokki,Giza,Egypt,Full Time,Hybrid,Entry Level,Software Engineering,"['python', 'java', 'javascript', 'sql', 'r', 'java']","['django', 'react', 'angular']",2.0,2024-07-31
Exco Egypt,Nasr City,Cairo,Egypt,Full Time,Hybrid,Manager,Other,['r'],not found,13.0,2024-06-03
Confidential,Mohandessin,Giza,Egypt,Full Time,Hybrid,Entry Level,Data Science and Analytics,['r'],not found,1.0,2024-07-03
City Glass,10th of Ramadan City,Cairo,Egypt,Full Time,Hybrid,Experienced,Other,"['r', 'plc']",not found,6.0,2024-07-09
RTR Software Solutions ,Nasr City,Cairo,Egypt,Full Time,Hybrid,Experienced,AI and Machine Learning,"['python', 'r']",not found,3.0,2024-07-03
USYTech,Heliopolis,Cairo,Egypt,Full Time,Hybrid,Entry Level,Other,"['java', 'ruby', 'javascript', 'r', 'java']",['react'],4.443075898801598,2024-07-30
StreetScan,New Cairo,Cairo,Egypt,Full Time,Hybrid,Entry Level,Other,['r'],not found,2.0,2024-07-17
USYTech,Heliopolis,Cairo,Egypt,Full Time,Hybrid,Entry Level,Other,['r'],not found,4.443075898801598,2024-07-11
Visionare,Not mentioned,Alexandria,Egypt,Full Time,Hybrid,Experienced,Senior Software Engineering,"['sql', 'r']","['django', 'flask']",12.0,2024-07-03
Prometeon Tyres Group – Egypt  (Ex-Pirelli Tyres Egypt),Ameria,Alexandria,Egypt,Full Time,Hybrid,Entry Level,Production and Manufacturing,others,not found,0.0,2024-07-03
Tawasoa Factoring,Heliopolis,Cairo,Egypt,Full Time,Hybrid,Experienced,Administrative,['r'],not found,4.0,2024-06-03
StreetScan,New Cairo,Cairo,Egypt,Full Time,On-site,Experienced,DevOps and System Administration,"['sql', 'r']",['node.js'],8.0,2024-07-03
Zahranco Engineering Trade,Badr City,Cairo,Egypt,Full Time,On-site,Entry Level,Production and Manufacturing,['r'],not found,4.443075898801598,2024-06-03
MY WAY,Obour City,Cairo,Egypt,Full Time,On-site,Manager,Management and Leadership,['r'],not found,9.0,2024-07-03
Yeah! Global,Not mentioned,Dubai,United Arab Emirates,Full Time,On-site,Entry Level,Software Engineering,['r'],not found,4.443075898801598,2024-07-10
Rewaa,Not mentioned,Riyadh,Saudi Arabia,Full Time,On-site,Entry Level,Research and Development,['r'],not found,4.443075898801598,2024-08-01
TradeTracker.com,Not mentioned,Dubai,United Arab Emirates,Full Time,On-site,Experienced,Software Engineering,"['java', 'javascript', 'r', 'html', 'java']",not found,4.443075898801598,2024-07-06
Malaa Technologies,Not mentioned,Riyadh,Saudi Arabia,Full Time,On-site,Experienced,Data Engineer,['r'],not found,4.443075898801598,2024-07-17
NICE ONE | نايس ون,Not mentioned,Riyadh,Saudi Arabia,Full Time,On-site,Experienced,Data Engineer,['r'],not found,4.443075898801598,2024-07-17
Expleo Group,Not mentioned,Dubai,United Arab Emirates,Full Time,On-site,Experienced,Management and Leadership,"['java', 'javascript', 'r', 'php', 'java']",not found,4.443075898801598,2024-07-07
Intoude Foundation Too,Not mentioned,Kuwait City,Kuwait,Full Time,On-site,Entry Level,Software Engineering,"['java', 'javascript', 'r', 'css', 'java']",not found,4.443075898801598,2024-07-13
